ID,Replicate,Count,Counter,Food,Genotype,Died,Fungus,Bacteria,Censored,Contaminated, Notes
19,3,24,Mandy,HB101,N2,0,0,0,0,0,
19,4,24,Mandy,HB101,N2,0,0,0,0,0,
19,5,16,Mandy,HB101,N2,0,0,0,0,0,
19,6,16,Mandy,HB101,N2,0,0,0,0,0,
20,1,12,Mandy,HB101,ERT250,0,0,0,0,0,
20,2,13,Mandy,HB101,ERT250,0,0,0,0,0,
20,3,10,Mandy,HB101,ERT250,0,0,0,0,0,
20,4,9,Mandy,HB101,ERT250,0,0,0,0,0,
20,5,9,Mandy,HB101,ERT250,0,0,0,0,0,
20,6,10,Mandy,HB101,ERT250,0,0,0,0,0,
21,1,10,Mandy,DA837,N2,0,0,0,0,0,
21,2,16,Mandy,DA837,N2,0,0,0,0,0,
21,3,7,Mandy,DA837,N2,0,0,0,0,0,
21,4,14,Mandy,DA837,N2,0,0,0,0,0,
21,5,23,Mandy,DA837,N2,0,0,0,0,0,
21,6,11,Mandy,DA837,N2,0,0,0,0,0,
22,1,39,Mandy,HB101,N2,0,0,0,0,0,
22,2,24,Mandy,HB101,N2,0,0,0,0,0,
22,3,23,Mandy,HB101,N2,0,0,0,0,0,
22,4,24,Mandy,HB101,N2,0,0,0,0,0,
22,5,33,Mandy,HB101,N2,0,0,0,0,0,
22,6,23,Mandy,HB101,N2,0,0,0,0,0,
23,1,8,Anne,DA837,ERT250,0,0,0,0,0,
23,2,8,Anne,DA837,ERT250,0,0,0,0,0,
23,3,7,Anne,DA837,ERT250,0,0,0,0,0,
23,4,13,Anne,DA837,ERT250,0,0,0,0,0,
23,5,10,Anne,DA837,ERT250,0,0,0,0,0,
23,6,18,Anne,DA837,ERT250,0,0,0,0,0,
24,1,6,Anne,HB101,ERT250,0,0,0,0,0,
24,2,13,Anne,HB101,ERT250,0,0,0,0,0,
24,3,11,Anne,HB101,ERT250,0,0,0,0,0,
24,4,11,Anne,HB101,ERT250,0,0,0,0,0,
24,5,11,Anne,HB101,ERT250,0,0,0,0,0,
24,6,14,Anne,HB101,ERT250,0,0,0,0,0,
25,1,8,Anne,HB101,ERT250,0,0,0,0,0,
25,2,10,Anne,HB101,ERT250,0,0,0,0,0,
25,3,12,Anne,HB101,ERT250,0,0,0,0,0,
25,4,7,Anne,HB101,ERT250,0,0,0,0,0,
25,5,11,Anne,HB101,ERT250,0,0,0,0,0,
25,6,14,Anne,HB101,ERT250,0,0,0,0,0,
26,1,1,Anne,DA837,ERT250,0,0,0,0,0,
26,2,9,Anne,DA837,ERT250,0,0,0,0,0,
26,3,9,Anne,DA837,ERT250,0,0,0,0,0,
26,4,6,Anne,DA837,ERT250,0,0,0,0,0,
26,5,8,Anne,DA837,ERT250,0,0,0,0,0,
26,6,5,Anne,DA837,ERT250,0,0,0,0,0,
27,1,6,Mandy,HB101,ERT250,0,0,0,0,0,
27,2,7,Mandy,HB101,ERT250,0,0,0,0,0,
27,3,4,Mandy,HB101,ERT250,0,0,0,0,0,
27,4,2,Mandy,HB101,ERT250,0,0,0,0,0,
27,5,8,Mandy,HB101,ERT250,0,0,0,0,0,
27,6,5,Mandy,HB101,ERT250,0,0,0,0,0,
28,1,19,Mandy,DA837,N2,0,0,0,0,0,
28,2,9,Mandy,DA837,N2,0,0,0,0,0,
28,3,26,Mandy,DA837,N2,0,0,0,0,0,
28,4,16,Mandy,DA837,N2,0,0,0,0,0,
28,5,22,Mandy,DA837,N2,0,0,0,0,0,
28,6,19,Mandy,DA837,N2,0,0,0,0,0,
29,1,22,Anne,HB101,N2,0,0,0,0,0,
29,2,14,Anne,HB101,N2,0,0,0,0,0,
29,3,24,Anne,HB101,N2,0,0,0,0,0,
29,4,15,Anne,HB101,N2,0,0,0,0,0,
29,5,16,Anne,HB101,N2,0,0,0,0,0,
29,6,21,Anne,HB101,N2,0,0,0,0,0,
30,1,24,Juliana,HB101,N2,0,0,0,0,0,
30,2,23,Juliana,HB101,N2,0,0,0,0,0,
30,3,16,Juliana,HB101,N2,0,0,0,0,0,
30,4,13,Juliana,HB101,N2,0,0,0,0,0,
30,5,21,Juliana,HB101,N2,0,0,0,0,0,
30,6,15,Juliana,HB101,N2,0,0,0,0,0,
31,1,8,Mandy,DA837,ERT250,0,0,0,0,0,
31,2,13,Mandy,DA837,ERT250,0,0,0,0,0,
31,3,5,Mandy,DA837,ERT250,0,0,0,0,0,
31,4,11,Mandy,DA837,ERT250,0,0,0,0,0,
31,5,9,Mandy,DA837,ERT250,0,0,0,0,0,
31,6,8,Mandy,DA837,ERT250,0,0,0,0,0,
32,1,20,Mandy,HB101,N2,0,0,0,0,0,
32,2,25,Mandy,HB101,N2,0,0,0,0,0,
32,3,39,Mandy,HB101,N2,0,0,0,0,0,
32,4,36,Mandy,HB101,N2,0,0,0,0,0,
32,5,33,Mandy,HB101,N2,0,0,0,0,0,
32,6,22,Mandy,HB101,N2,0,0,0,0,0,
33,1,2,Juliana,HB101,N2,0,0,0,0,0,
33,2,4,Juliana,HB101,N2,0,0,0,0,0,
33,3,6,Juliana,HB101,N2,0,0,0,0,0,
33,4,8,Juliana,HB101,N2,0,0,0,0,0,
33,5,10,Juliana,HB101,N2,0,0,0,0,0,
33,6,13,Juliana,HB101,N2,0,0,0,0,0,
34,1,9,Mandy,HB101,ERT250,0,0,0,0,0,
34,2,6,Mandy,HB101,ERT250,0,0,0,0,0,
34,3,9,Mandy,HB101,ERT250,0,0,0,0,0,
34,4,11,Mandy,HB101,ERT250,0,0,0,0,0,
34,5,13,Mandy,HB101,ERT250,0,0,0,0,0,
34,6,11,Mandy,HB101,ERT250,0,0,0,0,0,
35,1,15,Mandy,DA837,ERT250,0,0,0,0,0,
35,2,20,Mandy,DA837,ERT250,0,0,0,0,0,
35,3,9,Mandy,DA837,ERT250,0,0,0,0,0,
35,4,17,Mandy,DA837,ERT250,0,0,0,0,0,
35,5,11,Mandy,DA837,ERT250,0,0,0,0,0,
35,6,19,Mandy,DA837,ERT250,0,0,0,0,0,
36,1,19,Mandy,DA837,N2,0,1,1,0,1,contaminated 8/23
36,2,14,Mandy,DA837,N2,0,1,1,0,1,contaminated 8/23
36,3,12,Mandy,DA837,N2,0,1,1,0,1,contaminated 8/23
36,4,8,Mandy,DA837,N2,0,1,1,0,1,contaminated 8/23
36,5,11,Mandy,DA837,N2,0,1,1,0,1,contaminated 8/23
36,6,8,Mandy,DA837,N2,0,1,1,0,1,contaminated 8/23
37,1,12,Anne,DA837,N2,0,1,0,0,1,contaminated 8/24
37,2,13,Anne,DA837,N2,0,1,0,0,1,contaminated 8/24
37,3,13,Anne,DA837,N2,0,1,0,0,1,contaminated 8/24
37,4,16,Anne,DA837,N2,0,1,0,0,1,contaminated 8/24
37,5,9,Anne,DA837,N2,0,1,0,0,1,contaminated 8/24
37,6,12,Anne,DA837,N2,0,1,0,0,1,contaminated 8/24
38,1,6,Mandy,HB101,ERT250,0,0,0,0,0,
38,2,5,Mandy,HB101,ERT250,0,0,0,0,0,
38,3,16,Mandy,HB101,ERT250,0,0,0,0,0,
38,4,11,Mandy,HB101,ERT250,0,0,0,0,0,
38,5,5,Mandy,HB101,ERT250,0,0,0,0,0,
38,6,11,Mandy,HB101,ERT250,0,0,0,0,0,
39,1,11,Mandy,DA837,ERT250,0,0,0,0,0,
